eval/mean_ep_length,time/total_timesteps,eval/mean_reward
1.0,76000,-4883.8521108
1.0,77000,-5258.3269296
1.0,78000,-4537.2032248
1.0,79000,-4912.7912882
1.0,80000,-4521.831463
1.0,81000,-4762.0823846
1.0,82000,-4552.351400199999
1.0,83000,-4937.6997512
1.0,84000,-5064.301139200001
1.0,85000,-5171.1563372
1.0,86000,-4406.0818428
1.0,87000,-4531.0491812
1.0,88000,-4036.170076
1.0,89000,-4784.2570678
1.0,90000,-5048.5747854
1.0,91000,-5188.573484
1.0,92000,-5738.893948
1.0,93000,-5264.683661599999
1.0,94000,-4942.7807574
1.0,95000,-4486.0504896
1.0,96000,-4569.1726298
1.0,97000,-5063.7337286
1.0,98000,-5483.9461512
1.0,99000,-4186.6592596
1.0,100000,-4710.4313108
1.0,101000,-5303.917831000001
1.0,102000,-4295.4393198
1.0,103000,-5441.1727192
1.0,104000,-4772.8956598
1.0,105000,-5046.2407178
1.0,106000,-4561.3716638
1.0,107000,-4547.3354388
1.0,108000,-4943.275948199999
1.0,109000,-4821.1386562
1.0,110000,-4265.354063600001
1.0,111000,-5109.5284916
1.0,112000,-5740.498182199999
1.0,113000,-4551.594402
1.0,114000,-5729.201379599999
1.0,115000,-4192.8049058
1.0,116000,-4528.970493999999
1.0,117000,-4814.3124698
1.0,118000,-5215.1449102
1.0,119000,-4396.308358
1.0,120000,-4831.7080558
1.0,121000,-4849.9482328
1.0,122000,-4040.978422
1.0,123000,-4223.7160986
1.0,124000,-5178.4421728
1.0,125000,-4625.099499999999
1.0,126000,-4063.6510689999996
1.0,127000,-4103.919574
1.0,128000,-4280.0926946
1.0,129000,-4837.9917002
1.0,130000,-4290.0491139999995
1.0,131000,-5542.4235704
1.0,132000,-4840.9130484
1.0,133000,-4568.7601344
1.0,134000,-4362.320486
1.0,135000,-4116.444459
1.0,136000,-5119.7556512
1.0,137000,-4677.3767683999995
1.0,138000,-4056.5783582000004
1.0,139000,-4711.1799742
1.0,140000,-5082.3843375999995
1.0,141000,-5609.8237102
1.0,142000,-6106.2839806
1.0,143000,-5233.240099799999
1.0,144000,-5044.293961
1.0,145000,-4604.2011842
1.0,146000,-4440.765326800001
1.0,147000,-5079.3082056
1.0,148000,-4874.2348608
1.0,149000,-4815.8934814
1.0,150000,-4639.0958094
1.0,151000,-3944.6554357999994
1.0,152000,-4362.3614516
1.0,153000,-4412.697847400001
1.0,154000,-4985.2329314
1.0,155000,-4334.2442246
1.0,156000,-4961.677723
1.0,157000,-4776.692097200001
1.0,158000,-5528.938166999999
1.0,159000,-4356.8258182
1.0,160000,-4336.3401398000005
1.0,161000,-4681.165924399999
1.0,162000,-4654.459617400001
1.0,163000,-4898.8984124
1.0,164000,-4477.115228
1.0,165000,-4245.491627599999
1.0,166000,-4546.1491622
1.0,167000,-5234.4365858
1.0,168000,-5199.8923624
1.0,169000,-5164.6258046
1.0,170000,-4065.2191528000003
1.0,171000,-4352.280499400001
1.0,172000,-4782.929006
1.0,173000,-5248.4380528
1.0,174000,-4949.441379399999
1.0,175000,-4618.5475192
1.0,176000,-5048.373066800001
1.0,177000,-4131.4053152
1.0,178000,-5032.482457
1.0,179000,-4953.1654658
1.0,180000,-5368.415085600001
1.0,181000,-4990.6132036
1.0,182000,-4587.7863006
1.0,183000,-4443.8351446
1.0,184000,-4865.6463527999995
1.0,185000,-4450.265180199999
1.0,186000,-4609.5234534
1.0,187000,-5579.2402518
1.0,188000,-5432.132899599999
1.0,189000,-4704.436872800001
1.0,190000,-5144.9120626
1.0,191000,-5701.785849400001
1.0,192000,-5817.083109599999
1.0,193000,-4700.722463
1.0,194000,-5188.5649598
1.0,195000,-4723.9032642
1.0,196000,-4996.1733785999995
1.0,197000,-4198.31703
1.0,198000,-5559.2607862
1.0,199000,-4728.0167682
1.0,200000,-5286.5227588
1.0,201000,-5207.164324
1.0,202000,-4672.276537
1.0,203000,-4572.800019
1.0,204000,-4157.7887414
1.0,205000,-4657.9338754
1.0,206000,-4920.0124326000005
1.0,207000,-5447.6645986
1.0,208000,-4274.7014658
1.0,209000,-4961.5970576
1.0,210000,-4753.3506898
1.0,211000,-4693.5834992
1.0,212000,-5085.559833400001
1.0,213000,-4820.4527284
1.0,214000,-4980.2369044
1.0,215000,-4322.8431744
1.0,216000,-4757.7096368
1.0,217000,-5513.914417
1.0,218000,-4562.2146766000005
1.0,219000,-5431.3759428
1.0,220000,-4901.4860278
1.0,221000,-4966.7825636
1.0,222000,-5079.506019800001
1.0,223000,-4589.657490799999
1.0,224000,-4722.1824312
1.0,225000,-4884.556105199999
1.0,226000,-4600.3368132000005
1.0,227000,-4165.915140200001
1.0,228000,-3924.0230718
1.0,229000,-5190.4423404
1.0,230000,-4412.970463399999
1.0,231000,-4843.774335
1.0,232000,-6062.2823960000005
1.0,233000,-4610.633264
1.0,234000,-4585.7793848
1.0,235000,-4234.8491492
1.0,236000,-5758.392156
1.0,237000,-5423.688378600001
1.0,238000,-5127.385396
1.0,239000,-4428.303150199999
1.0,240000,-4881.1262719999995
1.0,241000,-4144.5187064
1.0,242000,-4659.358262
1.0,243000,-5475.763139799999
1.0,244000,-5574.347903399999
1.0,245000,-4881.2389314
1.0,246000,-4528.157063
1.0,247000,-5686.654625000001
1.0,248000,-4626.6626778
1.0,249000,-4507.273282799999
1.0,250000,-4878.711043
1.0,251000,-4234.229265600001
1.0,252000,-5032.9778912
1.0,253000,-4525.684313199999
1.0,254000,-5580.0274306
1.0,255000,-4447.068511200001
1.0,256000,-4342.619610399999
1.0,257000,-4601.8741794
1.0,258000,-4732.642654200001
1.0,259000,-4332.106346799999
1.0,260000,-4884.6443342
1.0,261000,-4623.0332034
1.0,262000,-5283.7649026
1.0,263000,-4634.5418474
1.0,264000,-4604.3560108
1.0,265000,-4368.9008176
1.0,266000,-4541.3159638
1.0,267000,-4750.4138904
1.0,268000,-4590.731707
1.0,269000,-5438.306501
1.0,270000,-4240.781893400001
1.0,271000,-4111.814187200001
1.0,272000,-5083.784268400001
1.0,273000,-4845.0336517999995
1.0,274000,-5624.909411
1.0,275000,-4796.5821158
1.0,276000,-4876.1191808
1.0,277000,-5125.430894200001
1.0,278000,-4721.2962542
1.0,279000,-4955.9044142
1.0,280000,-4037.6629398000005
1.0,281000,-4500.8193054
1.0,282000,-4579.3943374
1.0,283000,-4388.3029516
1.0,284000,-4354.8071402000005
1.0,285000,-4407.929061
1.0,286000,-4228.0698606
1.0,287000,-4585.6278922
1.0,288000,-4552.168214599999
1.0,289000,-5445.060127399999
1.0,290000,-5065.339733399999
1.0,291000,-4371.1428516
1.0,292000,-4496.0704612
1.0,293000,-4223.284348
1.0,294000,-4805.078251600001
1.0,295000,-5868.887322799999
1.0,296000,-4846.3892212
1.0,297000,-4658.671121199999
1.0,298000,-4646.4873914
1.0,299000,-4826.941691800001
1.0,300000,-4844.1328465999995
1.0,301000,-4512.4172468
1.0,302000,-4724.877245199999
1.0,303000,-4933.129016999999
1.0,304000,-4426.0941712
1.0,305000,-4611.6878094
1.0,306000,-5278.471291
1.0,307000,-5199.7282038
1.0,308000,-4715.725349599999
1.0,309000,-5718.8280464
1.0,310000,-4561.5173106
1.0,311000,-5794.204610399999
1.0,312000,-4344.6025636
1.0,313000,-4900.6516124
1.0,314000,-4242.7146532
1.0,315000,-4353.235918
1.0,316000,-4620.9081888
1.0,317000,-4830.358277000001
1.0,318000,-4565.822171
1.0,319000,-4783.1229637999995
1.0,320000,-5400.002928
1.0,321000,-4768.439582600001
1.0,322000,-4818.795909799999
1.0,323000,-5373.9866256
1.0,324000,-4183.3190808
1.0,325000,-5937.901269600001
1.0,326000,-4729.4778846
1.0,327000,-4931.6259082
1.0,328000,-4688.7266018
1.0,329000,-5466.8045062
1.0,330000,-4574.0431558
1.0,331000,-5719.9317015999995
1.0,332000,-5098.4562983999995
1.0,333000,-4205.051982999999
1.0,334000,-4668.2010612
1.0,335000,-4478.2090144
1.0,336000,-4332.0749632
1.0,337000,-6553.4689496
1.0,338000,-4527.601819
1.0,339000,-4243.3564354
1.0,340000,-4347.157391199999
1.0,341000,-5132.2065116
1.0,342000,-4408.3638408
1.0,343000,-5230.0133258000005
1.0,344000,-4867.3237024
1.0,345000,-3915.1652805999997
1.0,346000,-5400.580089800001
1.0,347000,-5420.679139
1.0,348000,-4685.571130400001
1.0,349000,-4477.5826038000005
1.0,350000,-4125.465681
1.0,351000,-4603.6734994
1.0,352000,-5075.9003408
1.0,353000,-6163.8824196000005
1.0,354000,-5341.6388958
1.0,355000,-5061.685067
1.0,356000,-4500.3080064000005
1.0,357000,-4563.402058199999
1.0,358000,-4588.32798
1.0,359000,-5138.3208784
1.0,360000,-4587.8931034
1.0,361000,-5239.9683386
1.0,362000,-7146.0025656
1.0,363000,-5037.1781318
1.0,364000,-4642.3913352
1.0,365000,-4740.001697600001
1.0,366000,-5753.4008716
1.0,367000,-5381.0765644
1.0,368000,-5036.3343958
1.0,369000,-4917.0411508
1.0,370000,-4326.3879704
